Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
0065b818525d8a364f5d9e4b801e3408dad6576ce6d8ca5c01b19c3857a08d64,44.16,3.62,43222,66521
00acf5d0db7ef50140dae7a3482d9db80704ec98670bd1607e76c99382a4888c,202.03,21.27,168760,249320
00e6db8d116020d7dda556e0cdf9e0d4c9e57bb8d566c0e702a23ec679a46b51,16.54,0.73,6093,9133
0128cd3b2d255e772bca58dd3b6d0bbfb87ab5914ab6206a6072c1f658772b5b,4.41,0.06,60,86
01bfeed1000907ad1063e513454ee73eecf2d613386e38473640fc5b88ac1090,17.46,0.84,6517,9748
01d82a941b1c5186c3c2ad0cd44843e51c69756e52783d9e3a5dfa09486973ec,5.3,0.03,74,94
01f1e82d4c2b04a4652348fb18bb480396db2229c4fd22d2be1ea58e6bf4a570,46.83,2.09,22130,33713
02835451193c2232094b591b7ef52a18786bae3232330839e63631f077f4946b,75.67,1.97,13718,21470
02a08b994265901a649f1bcf6772bc06df2eb51eb09906af9fd0f4a8103e9851,17.83,0.78,6517,9748
0358e06e72e92d95dbaff4f113018f6bf6fd0fb064108adc349b80d016b207eb,113.34,4.53,42458,63521
03712d5e96fdb8f0e110ffb1f5448e8e963d008de31ed69b77a5f78a5ac25533,4.39,0.05,73,98
0371db2b1c4814b67162993e581dd6f68a425fbd8ed9e691d7aa8fd43de763b1,15.69,0.39,3374,4736
0382f4930cb892b43c80ef147ad617c332a7c2e298502ef0e6663b2b48319460,43.32,3.34,43193,66480
04dce8eb632250f64f1741f47707e6cb991926d35f4157d540c2fc3230b6a92f,73.02,8.05,94806,142820
06699c98ed2ef759b2434ac5777a2886b966c0ffa1c96c046f5cde77fe833784,27.48,1.45,13486,20031
068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274,13.11,0.26,64,100
06f10c935fae531e070c55bde15ee3b48b6bb289af237e96eec82124c19d1049,57.4,8.33,93638,143059
08b74bb2d6ec9bbdabdd92fb32d8322d2e08b45b0be069c7429675d33d5060c7,42.61,3.65,43222,66521
08c4e99a0bd2c88d0d96f0c688557fbb27c027ce3fbad861925961c86eb35ec1,8.71,0,0,0
0933f23c466188e0a7c6fab661bdb8487cf7028c5cec557efb75fde9879a6af8,5.28,0.04,74,94
09403153fcdb2b700f8b7ab47da7f6e9dfa365d21235a2b8d66080cb76dc62e2,1066.76,1.29,12148,18175
0a2380a0a44236061c0fdf4ea3b2f75f1e0b63b61adb0cfc01bbf5e2a10a8497,27.21,1.48,11523,17241
0a243cc1235bc425c211cff66067fa82dc6a164884dc060e548b850c38ce1e6d,11.49,0.5,3136,4514
0ace4e1158ab5b7723493f39d6949309e00e4a71804f0b09e33d5d48a28cb061,36.35,1.18,6795,11208
0b567dc11729b018a0849d17e27bd8f696ddbc71f50313ab552247cbf978578e,26.09,1.61,11523,17241
0bfe25de8c46834e9a7c216f99057d855e272eafafdfef98a6012cecbbdcfabf,45.3,3.41,35337,53553
0c5403c0c2989f2ceb77c0d87d34830a2c2235e40942ce82695747a66f48c8bf,28.96,1.55,11523,17241
0c662d28268514fabc7129fd14d6e3e9d7df29261a861bcf8aab1f318bb8e7d0,130.25,6.18,42359,63379
0c8cb5bf2ab6de2faf9498478513b345eb241c64d33b1892df88af5925329024,31.37,1.74,11523,17241
0ca9ffeab647cff8f90fa77444ac33d68cd7af945d9a9c70232c9999d2b6adae,15.7,1.08,4809,7272
0e386e1fa6f7a1ef81465dbce1a775b0229ce4ed7497d72483d529088cf5f63d,29.48,1.84,11523,17241
0e5f7737704c8f25b2b8157561be54a463057cd4d79c7e016c30a1cf6590a85c,19.76,0.72,5328,7904
0f423c7722c550d26cdb474b537144f4c6ed0bbb75eee0fa33cc667113b6aa40,26.5,1.42,11523,17241
0fb7bfae5c2e10c4b752aa9af70aa0bc146e9c6ba22a330413bfc0aa3c581809,102.74,14.62,140014,216988
0fe572e7aad25a38ba9ee9b4600ddc02641e29061de250c525d6828f70326005,126.06,5.2,42689,63889
0fff8fb05cee8dc4a4f7a8f23fa2d67571f360a3025b6d515f9ef37dfdb4e2ea,11.82,0.49,918,1304
100cbf5578cfd03950c8606c6131a85635a8278696d3d64ecb629fa09af449e9,5.23,0.08,66,95
104ad2f9d097758c0fca22678b54534cccde1815ebd6be6226e0bad895148e90,27.11,1.45,11523,17241
1066395126da32da052f39c9293069f9bcc1c8d28781eb9d44b35f05ce1fd614,27.59,1.9,11523,17241
10887d13dba1f83ef34e047455a04416d25a83079a7f3798ce3483e0526e3768,19.47,1.48,5873,8813
108a3966b001776c0cadac27dd9172e506069cb35d4233c140f2a3c467e043d0,27.39,1.39,11523,17241
10bb96e0680971c11b16dab51f905804f09f3605eb8d157b791abb5ad21af204,28.09,1.68,11523,17241
1144d0448fefe26f5b9db7e7a7522c9a46eded3a603daa903052373cecc92b27,23.68,1.61,9760,14708
114e869e698af6c1dcd02f869f59790a7a629f157c712c1e77a81c7d3d26b071,15.05,0.57,3785,3828
117a057829cd9abb5fba20d3ab479fc92ed64c647fdc1b7cd4e0f44609d770ea,10.79,0.09,1,0
118a61b23ecb66658d42836ac9b8c78ffd2e5b994e2dcc53a4c7ca4291a4cfad,119.93,4.93,42458,63521
11cd3d492a3cf079eef8cbe8068e385e79fa2ebaa5192c605289946c3c4819b3,25.89,1.29,11523,17241
11e508b38307c2ee091406449b78fc1e5cae7d48ac40e4fc3339cb31a4d52754,15.29,0.14,3,2
120715377727531a56f32225e196b1536618d224662fa0b3ba6c52dba80f3b29,119.7,4.68,42359,63379
12376973641a658f2228df99a51333b02ddcee1beb7ee019d48105e2bd76e6b9,26.33,1.39,11523,17241
125f8fbda267074ebb1338a7a33852db9419e396381b398f0e7e5786bda3e5bb,25.71,1.29,11523,17241
13103c1e54d1c55cb7bb306e4de1b9f80a7407ca2e19ee9b1e51eb1d3c5e4efe,14.28,0.73,4809,7272
13b202f8035b5abd8b0c18e0885a60db12661b8e68d9f72d260c5d223d8d6817,26.61,1.65,11523,17241
13befc26cf004f4bd09268eae6270c47c030d682f1935dc8f438969266755680,26.11,1.25,11523,17241
1461362ebd3b8710610c59cd2aa00f435330bd9d8f75ba4105617b0205cd932b,16.65,0.04,3,2
